T,D,P,chunk_size,total_time,dl_avg,par_avg,agg_time,total_words,throughput
2,1,1,200,167.1103,167.0162,167.0168,0.0934,1279029,7653.80
4,1,3,200,207.7228,207.6844,207.6823,0.0364,1141385,5494.75
6,2,4,200,84.4711,81.0704,84.3947,0.0722,2193742,25970.33
8,2,6,200,99.2724,98.3814,99.1809,0.0860,768428,7740.60
10,3,7,200,64.0756,60.6508,63.9774,0.0906,1030265,16078.91
12,4,8,200,50.8359,44.5393,50.7590,0.0717,1425100,28033.32
15,5,10,200,57.1860,47.9783,57.0523,0.1278,725086,12679.44
20,6,14,200,57.7168,49.0624,57.6008,0.0788,698261,12098.06
8,2,6,50,60.2608,59.2496,60.2110,0.0452,1609347,26706.35
8,2,6,100,123.1673,118.7447,123.0433,0.1166,701808,5698.01
8,2,6,200,91.0351,87.4754,90.8548,0.1758,2193742,24097.75
8,2,6,500,85.8031,79.1081,85.7558,0.0452,1568237,18277.15
8,2,6,1000,81.6688,74.2917,81.5911,0.0749,1467295,17966.40
8,2,6,2000,72.6150,71.8413,72.5424,0.0684,2001569,27564.12
16,2,14,200,74.7868,69.5776,74.6699,0.1070,1538338,20569.64
16,4,12,200,62.3077,58.6274,62.1381,0.1486,1094782,17570.57
16,8,8,200,32.4455,24.2684,32.3820,0.0583,334466,10308.53
16,12,4,200,19.3356,16.9482,19.2828,0.0452,202792,10487.99
16,14,2,200,28.2417,19.3595,28.1892,0.0445,319187,11301.98
